,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,barcode,image_file_name
normal4_scan | 006 | neg,normal4,normal4_scan,6,neg,DSP-1001250007864-D-G01,56847.47814,251,28852,-33549,6311752,6230813,6170679,5600541,742060,88.24320094,0.9929,0.9914,normal,,tubule,39.07355236,0.430925237,5517,-7424,137,proximal tubule,0.002117919,0,0.223030626,2.399615172,1.906373732,4.122347243,0.168997214,0.001765828,1.35411452,0.349471366,0,0.213903213,0,0,0,3.555302167,0,1.1643883,2.6216943,7.1241674,9.05858,normal4_scan | 006 | neg,normal4_scan - 006 - neg
normal4_scan | 007 | Geometric Segment,normal4,normal4_scan,7,Geometric Segment,DSP-1001250007864-D-G02,11855.12654,88,21196,-19719,1937366,1922683,1908568,1825249,259515,86.60475099,0.9946,0.9938,normal,healthy,glomerulus,13.85561647,1.077313092,3599,-3973,138,glomerulus,0,0,0.095342713,0.790468349,7.168687445,2.724470025,0.30739305,0,9.550696018,0.391878624,0,1.474097326,0.024195994,5.197982897,0,0,0,4.0806694,11.553905,12.802133,11.293164,normal4_scan | 007 | Geometric Segment,normal4_scan - 007
normal4_scan | 008 | Geometric Segment,normal4,normal4_scan,8,Geometric Segment,DSP-1001250007864-D-G03,21459.78017,147,22585,-20187,2579043,2556055,2535977,2418360,460127,82.15900239,0.994,0.9933,normal,healthy,glomerulus,19.36868549,0.638407758,3946,-4083,139,glomerulus,0,0,0.068607281,0,13.17830348,1.724489499,0.33946387,0.003358532,6.225451275,0.341780975,0,0.901040724,0,6.434478745,0,0,0,3.919422,11.177286,12.403892,11.306398,normal4_scan | 008 | Geometric Segment,normal4_scan - 008
normal4_scan | 009 | Geometric Segment,normal4,normal4_scan,9,Geometric Segment,DSP-1001250007864-D-G04,25527.25376,148,30392,-21435,3237930,3212771,3188544,3033837,421888,86.97044099,0.9945,0.9938,normal,healthy,glomerulus,20.30907658,0.689480379,5895,-4403,140,glomerulus,0.214426183,0,0.127094941,0,9.947046694,2.491399389,0.244482836,0.007286474,9.614976444,0.156117439,0,1.700965179,0,5.294293315,0,0,0,4.2615943,11.557156,12.5653715,11.235457,normal4_scan | 009 | Geometric Segment,normal4_scan - 009
normal4_scan | 010 | Geometric Segment,normal4,normal4_scan,10,Geometric Segment,DSP-1001250007864-D-G05,25759.32117,156,23914,-14974,4281078,4237103,4205380,3998346,812921,81.01130136,0.9934,0.9925,normal,healthy,glomerulus,34.75739268,0.366744882,4267,-2788,141,glomerulus,0,0,0.009279628,0.072977577,9.957886856,1.176249849,0.993632703,0,6.468180488,0.37120012,0,0.693097256,0.141180555,5.786828686,0,0,0,3.9054666,10.43616,11.565648,11.357219,normal4_scan | 010 | Geometric Segment,normal4_scan - 010
normal4_scan | 011 | Geometric Segment,normal4,normal4_scan,11,Geometric Segment,DSP-1001250007864-D-G06,14595.23263,100,24764,-34531,1812591,1797785,1783912,1698497,236968,86.92655983,0.9943,0.9935,normal,healthy,glomerulus,14.89111812,1.231214962,4493,-7672,142,glomerulus,0,0,0.067097888,0,11.09845172,1.550641194,0.63271404,0.010714333,7.105470462,0,0,1.150739467,0,6.329095257,0,0,0,4.3554535,11.724771,12.9117985,11.405073,normal4_scan | 011 | Geometric Segment,normal4_scan - 011
normal4_scan | 012 | Geometric Segment,normal4,normal4_scan,12,Geometric Segment,DSP-1001250007864-D-G07,18690.46393,116,23143,-19133,3217074,3192952,3168754,3011869,418963,86.97689267,0.9948,0.994,normal,healthy,glomerulus,21.71203975,0.689480379,4086,-3827,143,glomerulus,0,0,0,0,8.376780949,2.814550013,0.367031693,0,7.070876657,0.21696436,0,1.37594753,0,6.456592813,0,0,0,4.2794394,10.764725,11.994253,11.505985,normal4_scan | 012 | Geometric Segment,normal4_scan - 012
normal4_scan | 013 | Geometric Segment,normal4,normal4_scan,13,Geometric Segment,DSP-1001250007864-D-G08,21113.93841,136,18540,-17727,3316064,3288845,3264102,3121800,485250,85.36668774,0.9942,0.9935,normal,abnormal,glomerulus,21.01703237,0.615607481,2937,-3479,144,glomerulus,0,0,0.119121746,0.109512057,10.21792464,2.251001387,0.815970077,0.003518265,7.741698204,0.348169072,0,0.814838409,0,6.091850507,0,0,0,3.8784258,10.713003,11.908043,11.646095,normal4_scan | 013 | Geometric Segment,normal4_scan - 013
normal4_scan | 014 | Geometric Segment,normal4,normal4_scan,14,Geometric Segment,DSP-1001250007864-D-G09,18368.82947,96,15087,-16661,3278479,3254534,3229582,3091061,432129,86.81922318,0.9947,0.994,normal,abnormal,glomerulus,23.20524716,0.662961903,2071,-3211,145,glomerulus,0.016049238,0,0.131711333,0.039233584,5.628776945,1.783349007,0,0,7.862495697,0.375549704,0,1.152203061,0,5.892522891,0,0,0,4.1060753,10.159609,11.514086,11.756082,normal4_scan | 014 | Geometric Segment,normal4_scan - 014
normal4_scan | 015 | Geometric Segment,normal4,normal4_scan,15,Geometric Segment,DSP-1001250007864-D-G10,17547.8789,100,24763,-12850,2648949,2624889,2604737,2475717,341456,87.1097556,0.9939,0.9931,normal,abnormal,glomerulus,17.73139794,0.861850473,4489,-2255,146,glomerulus,0,0,0.066704511,0.118547731,8.55655432,1.992707893,0.697613754,0,4.776390411,0.365766608,0,0.486877174,0,5.230931878,0.115552625,0,0,4.1774936,10.2746725,11.705941,11.527622,normal4_scan | 015 | Geometric Segment,normal4_scan - 015
normal4_scan | 016 | Geometric Segment,normal4,normal4_scan,16,Geometric Segment,DSP-1001250007864-D-G11,14923.9679,87,25368,-33873,1652642,1640213,1627575,1550159,232695,85.91981809,0.9946,0.9939,normal,abnormal,glomerulus,13.82017794,1.231214962,4645,-7507,147,glomerulus,0,0,0.144391772,0,8.479411833,1.768785581,0.185622581,0,7.934607061,0.241403694,0,0.912378291,0,5.143205118,0.074110454,0,0,4.4619784,11.399043,12.690773,11.426831,normal4_scan | 016 | Geometric Segment,normal4_scan - 016
normal4_scan | 017 | Geometric Segment,normal4,normal4_scan,17,Geometric Segment,DSP-1001250007864-D-G12,14750.3208,100,31130,-32056,780290,774451,768703,730074,127051,83.71746402,0.9946,0.9938,normal,abnormal,glomerulus,7.206564422,2.154626183,6082,-7055,148,glomerulus,0,0,0.155456487,0,8.696122018,3.283333352,1.000769662,0.006017635,8.265082785,0,0,1.93614008,0.140777693,5.379676997,0.162399197,0,0,4.859937,11.889488,13.4121685,11.732701,normal4_scan | 017 | Geometric Segment,normal4_scan - 017
disease2B_scan | 006 | PanCK,disease2B,disease2B_scan,6,PanCK,DSP-1001250007868-B-C01,11634.6114,118,33047,-28488,4262545,4160072,4085803,3922861,84706,98.01278344,0.9844,0.9813,DKD,,tubule,4.977680245,3.447401894,6538,-6375,171,distal tubule,0,0,0.007422674,9.514927416,0.746301854,9.215634566,0.037111044,0.000955109,0.451571328,0,0,0,0,0,0,0,0,2.7731295,-6.32505,10.066588,1.6564355,disease2B_scan | 006 | PanCK,disease2B_scan - 006 - PanCK
disease2B_scan | 006 | neg,disease2B,disease2B_scan,6,neg,DSP-1001250007868-B-C02,74251.72446,269,33047,-28488,12986143,12575002,12268658,11789782,262426,97.97918443,0.983,0.9788,DKD,,tubule,15.2488022,1.149133965,6538,-6375,172,proximal tubule,0,0,0.069095379,0.279871771,1.270538749,7.173537404,1.298475079,9.58E-05,0.951680348,0.103860328,0,0.235410984,0,0,0,10.94183797,0,-4.9419236,2.9471886,9.923328,15.742907,disease2B_scan | 006 | neg,disease2B_scan - 006 - neg
disease2B_scan | 007 | PanCK,disease2B,disease2B_scan,7,PanCK,DSP-1001250007868-B-C03,17370.78034,133,35767,-29674,4316269,4241164,4183367,3991193,125101,97.10164033,0.9877,0.9861,DKD,,tubule,8.611827305,2.154626183,7219,-6633,173,distal tubule,0,0,0,18.16108073,0.501593355,3.132002929,0,0.006574122,0.29035661,0,0,0,0,0,0,1.103751579,0,1.3886734,-5.8142905,10.139464,2.436621,disease2B_scan | 007 | PanCK,disease2B_scan - 007 - PanCK
disease2B_scan | 007 | neg,disease2B,disease2B_scan,7,neg,DSP-1001250007868-B-C04,81639.24626,216,35767,-29674,11800240,11605913,11453046,10963200,267543,97.73273255,0.9879,0.9859,DKD,,tubule,15.71394447,1.149133965,7219,-6633,174,proximal tubule,0,0,0.013897732,0.353268437,0.770094148,2.897203521,0.297287035,0.010729537,0.24357236,0,0,0.306122614,0,0,0,13.14979757,0,-4.72694,2.7527845,9.866082,15.682991,disease2B_scan | 007 | neg,disease2B_scan - 007 - neg
disease2B_scan | 008 | PanCK,disease2B,disease2B_scan,8,PanCK,DSP-1001250007868-B-C05,10375.91249,78,30093,-30475,2950313,2894090,2847581,2719696,67724,97.70451474,0.9869,0.9852,DKD,,tubule,3.778204047,4.309252367,5798,-6862,175,distal tubule,0,0,0,16.23454675,0.472555971,3.449935508,0,0,0.125561404,0,0,0.143695873,0,0,0,0,0,1.4920326,-5.5045323,9.961627,2.6699066,disease2B_scan | 008 | PanCK,disease2B_scan - 008 - PanCK
disease2B_scan | 008 | neg,disease2B,disease2B_scan,8,neg,DSP-1001250007868-B-C06,73735.64672,187,30093,-30475,19818750,19440505,19171764,18411502,435904,97.80054746,0.9866,0.9848,DKD,,tubule,20.48338529,0.718208728,5798,-6862,176,proximal tubule,0,0,0.050724584,0.256315432,0.77792028,6.015811247,0.014037647,0,0.721584632,0,0,0.672202548,0,0,0,16.35952988,0,-4.7412934,3.0787818,10.087474,15.906613,disease2B_scan | 008 | neg,disease2B_scan - 008 - neg
disease2B_scan | 009 | PanCK,disease2B,disease2B_scan,9,PanCK,DSP-1001250007868-B-C07,6450.012535,38,27934,-38284,3396592,3342391,3298772,3161068,64244,98.10857471,0.9881,0.9864,DKD,,tubule,4.04504843,4.309252367,5262,-8810,177,distal tubule,0,0,0,13.10318496,0,3.546201441,0,0,0.11170149,0,0,0,0,0,0,0,0,1.6252679,-5.9686255,10.12188,2.5338278,disease2B_scan | 009 | PanCK,disease2B_scan - 009 - PanCK
disease2B_scan | 009 | neg,disease2B,disease2B_scan,9,neg,DSP-1001250007868-B-C08,68227.61995,208,27934,-38284,19692313,19352971,19069231,18239133,389191,98.02363999,0.9879,0.986,DKD,,tubule,22.55581741,0.78350043,5262,-8810,178,proximal tubule,0,0,0.022851424,0.743171607,0.970654256,5.555936507,0,0,0.404194347,0,0,0.361224566,0,0,0,13.92885907,0,-5.11236,2.863913,9.771958,15.591535,disease2B_scan | 009 | neg,disease2B_scan - 009 - neg
disease2B_scan | 010 | PanCK,disease2B,disease2B_scan,10,PanCK,DSP-1001250007868-B-C09,12227.74908,110,24212,-41699,8580871,8454122,8351594,7995200,149651,98.25599289,0.9885,0.9869,DKD,,tubule,9.01771719,1.915223274,4332,-9688,179,distal tubule,0,0,0,23.2070975,0.116750383,3.820450031,0,0,0.162717905,0,0,0,0,0,0,0,0,2.0961099,-6.1820016,9.869638,1.960505,disease2B_scan | 010 | PanCK,disease2B_scan - 010 - PanCK
disease2B_scan | 010 | neg,disease2B,disease2B_scan,10,neg,DSP-1001250007868-B-C10,78998.7444,276,24212,-41699,31708477,31070605,30535446,29258804,597104,98.11689473,0.9864,0.9843,DKD,,tubule,25.08889127,0.52233362,4332,-9688,180,proximal tubule,0,0,0.007540185,0.110925732,1.718408427,7.535318383,0.336091168,0,1.09868923,0,0,0.596661716,0,0,0,16.48959307,0,-4.9738083,3.1518185,10.082975,15.902532,disease2B_scan | 010 | neg,disease2B_scan - 010 - neg
disease2B_scan | 011 | PanCK,disease2B,disease2B_scan,11,PanCK,DSP-1001250007868-B-C11,10457.44894,65,34348,-37264,5799120,5702348,5622986,5410791,107131,98.1526335,0.9874,0.9855,DKD,,tubule,6.29082878,2.462429924,6864,-8543,181,distal tubule,0,0,0,21.95562266,0.221907019,1.415048475,0,0,0.378830652,0,0,0,0,0,0,0,0,1.7202343,-6.162906,9.914494,2.1865447,disease2B_scan | 011 | PanCK,disease2B_scan - 011 - PanCK
disease2B_scan | 011 | neg,disease2B,disease2B_scan,11,neg,DSP-1001250007868-B-C12,46423.17544,150,34348,-37264,11433706,11223358,11081055,10615863,245415,97.85358308,0.9866,0.9849,DKD,,tubule,14.89555745,1.231214962,6864,-8543,182,proximal tubule,0.104677815,0,0.035585155,3.639421595,1.469340994,4.471795285,0.591594279,0,2.891411167,0.082746145,0,0.595617782,0,0,0,9.490982576,0,-4.6393213,2.8790386,9.910013,15.729163,disease2B_scan | 011 | neg,disease2B_scan - 011 - neg
disease2B_scan | 012 | Geometric Segment,disease2B,disease2B_scan,12,Geometric Segment,DSP-1001250007868-B-D01,23068.73906,136,29793,-33629,4606350,4524956,4462185,4279907,82495,98.20910265,0.9875,0.9858,DKD,healthy,glomerulus,5.844907487,3.447401894,5727,-7648,183,glomerulus,0,0,0,0,9.125982598,0,2.283059584,0,2.460797338,0.290017692,0,0.599754014,0.949821238,4.487615843,0,0,0,6.792162,12.644841,15.016589,12.564838,disease2B_scan | 012 | Geometric Segment,disease2B_scan - 012
disease2B_scan | 013 | Geometric Segment,disease2B,disease2B_scan,13,Geometric Segment,DSP-1001250007868-B-D02,23724.38802,132,32070,-33117,8415950,8289735,8179552,7845465,145998,98.26522258,0.9883,0.9865,DKD,healthy,glomerulus,9.679293701,1.915223274,6297,-7521,184,glomerulus,0,0,0,0,11.14883522,0.073308058,2.257040298,0,4.102401696,0.168146578,0,0.514512064,0.03982196,6.003833503,0,0,0,6.164517,12.4593115,14.283123,12.594416,disease2B_scan | 013 | Geometric Segment,disease2B_scan - 013
disease2B_scan | 014 | Geometric Segment,disease2B,disease2B_scan,14,Geometric Segment,DSP-1001250007868-B-D03,15825.42487,89,30988,-34783,4611878,4538825,4478114,4290588,79516,98.27584338,0.9878,0.9859,DKD,healthy,glomerulus,7.158952344,3.447401894,6025,-7942,185,glomerulus,0,0,0.02632916,0,6.366913652,0.048410669,0.375131976,0,1.353036228,0,0,0.606497204,0.131502761,5.875529217,0,0,0,6.580071,12.31379,14.64732,12.4027195,disease2B_scan | 014 | Geometric Segment,disease2B_scan - 014
disease2B_scan | 015 | Geometric Segment,disease2B,disease2B_scan,15,Geometric Segment,DSP-1001250007868-B-D04,23053.23115,125,34912,-24686,6391391,6282942,6187356,5934476,109509,98.28661711,0.9875,0.9856,DKD,healthy,glomerulus,8.838298188,2.462429924,7005,-5418,186,glomerulus,0,0,0,0,8.924432642,0.6497736,0.872549978,0,4.608303794,0,0,0.734584625,0.206827493,4.001109983,0,0,0,6.315794,12.043583,14.25117,12.414788,disease2B_scan | 015 | Geometric Segment,disease2B_scan - 015
disease2B_scan | 016 | Geometric Segment,disease2B,disease2B_scan,16,Geometric Segment,DSP-1001250007868-B-D05,18840.195,115,21003,-39196,4247749,4176716,4112403,3942590,79253,98.13423533,0.9877,0.9858,DKD,healthy,glomerulus,6.861807837,3.447401894,3527,-9042,187,glomerulus,0.051148624,0,0,0.031930233,6.908567845,0.366709297,0.575526758,0,3.011940156,0,0,0.851689683,1.280872482,3.839664811,0.000850232,0,0,5.9558163,11.99394,13.982899,12.104542,disease2B_scan | 016 | Geometric Segment,disease2B_scan - 016
disease2B_scan | 017 | Geometric Segment,disease2B,disease2B_scan,17,Geometric Segment,DSP-1001250007868-B-D06,15928.86424,82,30112,-33077,5585940,5489432,5407906,5190537,95843,98.28421,0.9872,0.9851,DKD,healthy,glomerulus,6.549121106,2.872834911,5807,-7511,188,glomerulus,0,0,0,0,9.954158374,0.568841117,1.236104547,0,3.729929592,0.050902102,0,0,1.383720608,5.535992678,0,0,0,6.2962365,12.727071,14.629602,12.640109,disease2B_scan | 017 | Geometric Segment,disease2B_scan - 017
disease2B_scan | 018 | Geometric Segment,disease2B,disease2B_scan,18,Geometric Segment,DSP-1001250007868-B-D07,24019.9976,131,19849,-36768,8025381,7890454,7774739,6826081,142355,98.22619013,0.9879,0.986,DKD,abnormal,glomerulus,13.29495619,1.915223274,3242,-8442,189,glomerulus,0,0,0,0,4.158195375,0,0.450881734,0,2.422287583,0,0,0.851842995,0.339149359,1.658724965,0.008410274,0,0,5.5954905,10.254244,12.1764,11.46116,disease2B_scan | 018 | Geometric Segment,disease2B_scan - 018
disease2B_scan | 019 | Geometric Segment,disease2B,disease2B_scan,19,Geometric Segment,DSP-1001250007868-B-D08,30831.80814,155,19326,-37109,11601551,11410116,11252785,10780243,209303,98.19590501,0.9878,0.986,DKD,abnormal,glomerulus,16.19937203,1.325923805,3108,-8520,190,glomerulus,0,0,0.03907583,0,8.671788319,0.390102712,0.603711479,0,3.737780604,0,0,0.660055704,1.275744379,2.914450231,0,0,0,5.6866546,11.076411,13.031184,11.58381,disease2B_scan | 019 | Geometric Segment,disease2B_scan - 019
disease2B_scan | 020 | Geometric Segment,disease2B,disease2B_scan,20,Geometric Segment,DSP-1001250007868-B-D09,25241.12579,133,17904,-39033,8621755,8461645,8335235,7993548,150700,98.25209601,0.9866,0.9845,DKD,abnormal,glomerulus,12.52874753,1.915223274,2756,-9002,191,glomerulus,0.017312193,0,0.083122036,0,9.419314319,0.5724762,0.639924577,0,4.059398597,0.518628004,0,0.438328924,1.98739181,2.987563553,0.026131386,0,0,6.066624,10.840587,12.838868,11.465198,disease2B_scan | 020 | Geometric Segment,disease2B_scan - 020
disease2B_scan | 021 | Geometric Segment,disease2B,disease2B_scan,21,Geometric Segment,DSP-1001250007868-B-D10,20817.85352,124,29216,-37708,4216463,4123658,4053903,3856490,94075,97.76886457,0.9854,0.9833,DKD,abnormal,glomerulus,7.597158241,2.872834911,5582,-8670,192,glomerulus,0.025778139,0,0,0,8.055622446,0.452727252,0.73555927,0,3.283211574,0,0,1.014595878,0.902046823,2.918281816,0,0,0,6.366632,12.117093,14.408811,12.55975,disease2B_scan | 021 | Geometric Segment,disease2B_scan - 021
disease2B_scan | 022 | Geometric Segment,disease2B,disease2B_scan,22,Geometric Segment,DSP-1001250007868-B-D11,37763.20545,184,36933,-24479,6971428,6865618,6781968,6509359,113945,98.3655429,0.9879,0.9859,DKD,abnormal,glomerulus,10.13009582,2.462429924,7510,-5364,193,glomerulus,0,0,0,0,6.11315298,1.817405711,1.503992889,0,4.388699674,0.385089589,0,0.595186734,1.052599094,1.102566495,0.301694637,0,0,5.8548274,10.517539,12.687425,11.583687,disease2B_scan | 022 | Geometric Segment,disease2B_scan - 022
disease2B_scan | 023 | Geometric Segment,disease2B,disease2B_scan,23,Geometric Segment,DSP-1001250007868-B-D12,35559.96277,203,39657,-23312,7510721,7288311,7136837,6867361,168801,97.75253268,0.9825,0.9789,DKD,abnormal,glomerulus,12.23513893,1.723700947,8195,-5070,194,glomerulus,0,0,0.030262233,0,8.559668986,1.454278884,1.391041615,0,6.730195824,0,0,0.583101999,0.938381499,1.073390446,0.018441065,0,0,5.6492343,10.717256,12.614305,11.344604,disease2B_scan | 023 | Geometric Segment,disease2B_scan - 023
normal2B_scan | 007 | PanCK,normal2B,normal2B_scan,7,PanCK,DSP-1002510007866-C-D10,8313.839774,64,9000,-23846,4112337,4074642,4042098,3878985,373967,90.90621707,0.994,0.9931,normal,,tubule,23.53744456,0.78350043,531,-5003,195,distal tubule,0,0,0,8.90926686,0.258334485,1.091477032,0,0,0.166150174,0,0,0.103808954,0,0,0,0,0,0.19666418,2.2788706,6.7268386,7.9913793,normal2B_scan | 007 | PanCK,normal2B_scan - 007 - PanCK
normal2B_scan | 007 | neg,normal2B,normal2B_scan,7,neg,DSP-1002510007866-C-D11,96174.63664,295,9000,-23846,12067729,11967564,11878715,11287028,997325,91.73560328,0.9944,0.9937,normal,,tubule,48.38479657,0.331480951,531,-5003,196,proximal tubule,0,0,0,1.833502205,1.072885971,3.195704727,0,0,0.513491205,0.005100298,0,0,0,0,0,9.509672292,0,-1.8747094,-0.5857919,6.4087043,11.420332,normal2B_scan | 007 | neg,normal2B_scan - 007 - neg
normal2B_scan | 008 | PanCK,normal2B,normal2B_scan,8,PanCK,DSP-1002510007866-C-D12,6364.159453,49,10130,-18367,2649518,2628409,2603844,2527407,196032,92.6012203,0.9947,0.994,normal,,tubule,20.16248874,1.325923805,815,-3601,197,distal tubule,0,0,0,0.280670904,0,0,0.021533922,0,0.066988614,0.058330386,0,0.034548242,0.023644511,0,0,0.057725951,0,2.6455624,5.669669,8.757353,9.9888115,normal2B_scan | 008 | PanCK,normal2B_scan - 008 - PanCK
normal2B_scan | 008 | neg,normal2B,normal2B_scan,8,neg,DSP-1002510007866-C-E01,60662.63648,177,10130,-18367,4974802,4930233,4887947,4635085,579196,88.35740598,0.9941,0.9932,normal,,tubule,30.6588013,0.556032563,815,-3601,198,proximal tubule,0,0,0.045883371,1.442614189,1.541389921,3.86062922,0.00550509,0,0.789624328,0,0,0,0,0,0,11.48821842,0,-2.4489613,-0.817005,6.721235,11.66194,normal2B_scan | 008 | neg,normal2B_scan - 008 - neg
normal2B_scan | 009 | PanCK,normal2B,normal2B_scan,9,PanCK,DSP-1002510007866-C-E02,21252.87444,155,11759,-27673,5096580,5055751,5017480,4745257,476913,90.64248967,0.9945,0.9938,normal,,tubule,20.38025904,0.638407758,1225,-5932,199,distal tubule,0,0,0,23.87578685,0.496538238,2.813141959,0,0,0.262297716,0,0,0,0,0,0,0,0,1.4006885,-5.073755,10.288911,2.745673,normal2B_scan | 009 | PanCK,normal2B_scan - 009 - PanCK
normal2B_scan | 009 | neg,normal2B,normal2B_scan,9,neg,DSP-1002510007866-C-E03,85405.91033,352,11759,-27673,10058268,9969884,9886202,9320423,1144062,88.62565603,0.9946,0.994,normal,,tubule,47.78236739,0.292152703,1225,-5932,200,proximal tubule,0,0,0,3.799618875,1.386726205,13.32410747,0,0,1.002651918,0,0,0,0.132356355,0,0,3.891138954,0,-1.9516395,-0.67798734,6.605544,11.149067,normal2B_scan | 009 | neg,normal2B_scan - 009 - neg
normal2B_scan | 010 | PanCK,normal2B,normal2B_scan,10,PanCK,DSP-1002510007866-C-E04,7349.791202,60,13453,-26746,2445448,2421256,2401425,2263643,208273,91.48323743,0.9938,0.993,normal,,tubule,10.65390244,1.436417456,1648,-5675,201,distal tubule,0,0,0,25.85660609,0,0.350203393,0,0.005292449,0.284604215,0,0,0,0,0,0,0,0,1.6873103,-4.5877805,10.116387,2.7524607,normal2B_scan | 010 | PanCK,normal2B_scan - 010 - PanCK
normal2B_scan | 010 | neg,normal2B,normal2B_scan,10,neg,DSP-1002510007866-C-E05,66892.02099,200,13453,-26746,11064148,10970118,10876029,10245899,905961,91.81174185,0.9946,0.9939,normal,,tubule,45.23641825,0.374717597,1648,-5675,202,proximal tubule,0,0,0.040136246,1.830931737,1.759617751,1.674273423,0.09222594,0,0.890407603,0,0,0.227500869,0.334363347,0,0,10.85638012,0,-2.111551,-0.77023566,6.5569015,11.67303,normal2B_scan | 010 | neg,normal2B_scan - 010 - neg
normal2B_scan | 011 | PanCK,normal2B,normal2B_scan,11,PanCK,DSP-1002510007866-C-E06,11468.341,93,24847,-36034,2697322,2676981,2655691,2506133,229024,91.50920802,0.9949,0.9941,normal,,tubule,12.25009664,1.325923805,4490,-8042,203,distal tubule,0,0,0,25.92811257,0.55176928,2.254446238,0,0,0.464150148,0,0,0,0,0,0,0,0,1.4535501,-4.704042,10.062209,2.8917336,normal2B_scan | 011 | PanCK,normal2B_scan - 011 - PanCK
normal2B_scan | 011 | neg,normal2B,normal2B_scan,11,neg,DSP-1002510007866-C-E07,118494.6793,412,24847,-36034,15423796,15279172,15167722,14280732,1339530,91.315173,0.994,0.9933,normal,,tubule,56.72596215,0.257268798,4490,-8042,204,proximal tubule,0,0,0.048006256,2.862608717,1.301678549,3.739159045,0.089729111,0,0.66140814,0,0,0,0.195425308,0,0,11.22536582,0,-2.2232707,-1.0113409,6.882489,11.553622,normal2B_scan | 011 | neg,normal2B_scan - 011 - neg
normal2B_scan | 012 | PanCK,normal2B,normal2B_scan,12,PanCK,DSP-1002510007866-C-E08,12457.96963,106,22111,-37286,3545771,3517781,3491219,3293852,288967,91.85037612,0.9947,0.994,normal,,tubule,15.98905042,1.077313092,3810,-8309,205,distal tubule,0,0,0,24.03785019,0.10399675,2.4739176,0,0,0.227932244,0,0,0,0,0,0,0,0,1.4292375,-4.6611304,10.382153,3.024128,normal2B_scan | 012 | PanCK,normal2B_scan - 012 - PanCK
normal2B_scan | 012 | neg,normal2B,normal2B_scan,12,neg,DSP-1002510007866-C-E09,160617.8464,407,22111,-37286,14855875,14718523,14597707,13697547,1326044,91.07394213,0.9941,0.9934,normal,,tubule,55.70623825,0.257268798,3810,-8309,206,proximal tubule,0,0,0,2.580700476,1.160110663,8.438718529,0.03365911,0,0.822487874,0,0,0.023683774,0,0,0,7.121730573,0,-2.0345573,-0.8092481,6.712814,11.43507,normal2B_scan | 012 | neg,normal2B_scan - 012 - neg
normal2B_scan | 013 | Geometric Segment,normal2B,normal2B_scan,13,Geometric Segment,DSP-1002510007866-C-E10,24103.1328,151,17830,-38633,2804345,2778674,2756849,2616437,262113,90.65332546,0.9941,0.9934,normal,healthy,glomerulus,15.90703759,1.149133965,2738,-8674,207,glomerulus,0,0,0.010044421,0.030270233,10.43679196,1.874612716,0.434305219,0.005103525,2.18107347,0.018787654,0,0.90337475,1.108402232,7.267890915,0,0,0,7.5096474,13.50876,16.114136,12.493423,normal2B_scan | 013 | Geometric Segment,normal2B_scan - 013
normal2B_scan | 014 | Geometric Segment,normal2B,normal2B_scan,14,Geometric Segment,DSP-1002510007866-C-E11,25156.07209,161,17247,-37458,2838814,2809797,2785454,2640611,272691,90.39419279,0.9935,0.9925,normal,healthy,glomerulus,16.60398593,1.149133965,2595,-8382,208,glomerulus,0,0,0,0,8.978260539,1.741912338,1.650477471,0,3.053407575,0,0,1.908756594,0.168226202,5.864361086,0,0,0,7.8147025,13.596865,16.313492,12.751559,normal2B_scan | 014 | Geometric Segment,normal2B_scan - 014
normal2B_scan | 015 | Geometric Segment,normal2B,normal2B_scan,15,Geometric Segment,DSP-1002510007866-C-E12,22744.19203,118,12667,-34559,2241328,2222638,2206521,2095034,221098,90.13540187,0.9944,0.9936,normal,healthy,glomerulus,16.29056433,1.325923805,1445,-7659,209,glomerulus,0,0,0.02673984,0.036956188,8.838442341,0.430786248,0.566053052,0,3.752802098,0.012986671,0,1.676532606,0,5.946840071,0,0,0,7.970597,13.177441,15.846515,12.53168,normal2B_scan | 015 | Geometric Segment,normal2B_scan - 015
normal2B_scan | 016 | Geometric Segment,normal2B,normal2B_scan,16,Geometric Segment,DSP-1002510007866-C-F01,25428.33987,138,11172,-23184,2678229,2658388,2636426,2504264,289060,89.2070469,0.995,0.9943,normal,healthy,glomerulus,18.42361639,1.013941733,1075,-4813,210,glomerulus,0,0,0,0.1126784,10.57946911,1.950923779,0.621522998,0.005973089,3.350874287,0.266403449,0,1.191248185,2.304174133,6.265326051,0,0,0,7.682304,13.458329,16.254774,12.249852,normal2B_scan | 016 | Geometric Segment,normal2B_scan - 016
